{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:45:51 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'HTTPConnectionPool(host='159.203.246.108', port=5000): Max retries exceeded with url: /sensors/sample_unit/sample_id/data/ (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x7f455c4a5fd0>: Failed to establish a new connection: [Errno 111] Connection refused',))' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:46:00 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:46:29 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:47:59 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:48:40 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:49:14 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:50:07 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':''dict' object has no attribute 'contains_key'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:51:10 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'HTTPConnectionPool(host='159.203.246.108', port=5000): Max retries exceeded with url: /sensors/sample_unit/sample_id/data/ (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x7f53d0113fd0>: Failed to establish a new connection: [Errno 111] Connection refused',))' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:51:33 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:51:52 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:52:06 AM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':''dict' object has no attribute 'contains_key'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/22/2015 10:16:56 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'143', 'message':''dict' object has no attribute 'contains_key'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 09:33:47 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'139', 'message':'command failed' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:33:47 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'142', 'message':'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 09:35:56 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'145', 'message':'command failed' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:35:56 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 09:40:57 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'145', 'message':'command failed' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:40:57 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 09:41:41 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'145', 'message':'command failed' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:41:41 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 09:42:41 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'145', 'message':'command failed' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:42:41 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 09:46:04 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'146', 'message':'command failed' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:46:04 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'149', 'message':'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 09:48:12 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'145', 'message':'command failed' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:48:12 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:55:04 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 09:55:56 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'148', 'message':'' }
