{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:46:00 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:46:29 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:47:59 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:48:40 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:49:14 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:51:33 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:51:52 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/22/2015 10:53:10 AM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'smart/sensor/commands.py', 'function_name':'execute', 'line_number':'34', 'message':'error: Response status: 500' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 10:37:54 PM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'57', 'message':'error: Response status: 404' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 10:42:08 PM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'60', 'message':'error: Response status: 405' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 10:44:48 PM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'60', 'message':'error: Response status: 405' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 10:45:27 PM CST', 'logger_name':'smart.sensor.commands', 'path_to_file':'/home/hayden/projects/github/SmartSystem/smart/sensor/commands.py', 'function_name':'execute', 'line_number':'60', 'message':'error: Response status: 500' }
