{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 08:57:53 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'39', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 08:57:53 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 09:14:14 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'39', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 09:14:14 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 09:14:33 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 09:14:33 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'41', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:20:58 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:20:58 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'41', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:25:11 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:25:11 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'41', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:25:48 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:25:48 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'41', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:30:34 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:30:34 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'41', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/05/2015 11:40:00 PM CST', 'logger_name':'__main__    ', 'path_to_file':'storage/access/restful_api_service.py', 'function_name':'insert_sensor_data', 'line_number':'40', 'message':'Exception occurred. Printing exception information.' }
