{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 01:55:46 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'54', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 01:55:46 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'ObjectId('565fc3e6b4c16322a36c4659') is not JSON serializable' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 01:57:30 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'54', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 01:57:30 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'ObjectId('565fc3e6b4c16322a36c4659') is not JSON serializable' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:01:30 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'54', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:01:30 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'ObjectId('565fc3e6b4c16322a36c4659') is not JSON serializable' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:06:58 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'54', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:06:58 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'ObjectId('565fc3e6b4c16322a36c4659') is not JSON serializable' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:11:29 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'53', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:11:29 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'54', 'message':'ObjectId('565fc3e6b4c16322a36c4659') is not JSON serializable' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:13:25 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'37', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:13:25 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'38', 'message':'global name 'collection' is not defined' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:13:32 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'37', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:13:32 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'38', 'message':'global name 'collection' is not defined' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:16:41 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'54', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:16:41 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'retrieve_sensor_data', 'line_number':'55', 'message':'ObjectId('565fc3e6b4c16322a36c4659') is not JSON serializable' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:31:16 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'38', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:31:16 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'39', 'message':'<pymongo.results.InsertOneResult object at 0x7f3ab26c75f0> is not JSON serializable' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:33:33 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'38', 'message':'Exception occurred. Printing exception information.' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/03/2015 02:33:33 AM CST', 'logger_name':'__main__    ', 'path_to_file':'rest_service.py', 'function_name':'insert_sensor_data', 'line_number':'39', 'message':'ObjectId('565ffe5db4c1636125248f9d') is not JSON serializable' }
