{ 'log_level':'CRITICAL ', 'time_stamp':'12/05/2015 11:25:11 PM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'91', 'message':'{u'error_occurred': True}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/05/2015 11:25:48 PM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'91', 'message':'{u'error_occurred': True}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/05/2015 11:30:34 PM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'91', 'message':'{u'error_occurred': True}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/05/2015 11:40:00 PM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{"error_occurred": true}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/05/2015 11:46:44 PM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{"error_occurred": true}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 12:10:30 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'error_occurred': True}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 12:16:32 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': False, u'error_occurred': True}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 09:46:25 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': True, u'payload': {u'_id': u'56645790b4c16328495df74b'}}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 09:52:16 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': True, u'payload': {u'_id': u'56645790b4c16328495df74b'}}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 09:53:14 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': True, u'payload': {u'_id': u'56645790b4c16328495df74b'}}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 09:57:20 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': True, u'payload': {u'_id': u'56645790b4c16328495df74b'}}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 10:24:08 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'88', 'message':'{u'was_success': True, u'payload': u'56646128b4c1630692f42245'}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 10:27:12 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'88', 'message':'{u'was_success': False, u'error_occurred': True}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 10:28:07 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'88', 'message':'{u'was_success': True, u'payload': u'56646217b4c1630d7634176a'}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 10:30:33 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': True, u'payload': u'566462a9b4c163140a295db7'}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 10:42:58 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': True, u'payload': u'56646592b4c1632d2eac749e'}' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/06/2015 10:45:53 AM CST', 'logger_name':'restful_api_service', 'path_to_file':'restful_api_service.py', 'function_name':'test_data_storage_retrieval', 'line_number':'89', 'message':'{u'was_success': False, u'error_occurred': True}' }
